n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
60,5,0.15873015873015872,0.8547880646245245,96.66666666666667,0.041666666666666664,4.761904761904762
60,10,0.0,0.0,100.0,0.0875,0.0
60,25,0.0,0.0,100.0,0.2640625,0.0
60,35,0.0,0.0,100.0,0.3953125,0.0
60,40,0.0,0.0,100.0,0.4859375,0.0
60,50,0.0,0.0,100.0,0.6739583333333333,0.0
60,60,0.0,0.0,100.0,0.8494791666666667,0.0
60,75,0.0,0.0,100.0,1.2364583333333334,0.0
60,85,0.0,0.0,100.0,1.4932291666666666,0.0
60,100,0.0,0.0,100.0,1.9614583333333333,0.0
60,110,0.0,0.0,100.0,2.2880208333333334,0.0
60,125,0.0,0.0,100.0,2.8098958333333335,0.0
60,150,0.0,0.0,100.0,3.815625,0.0
60,175,0.0,0.0,100.0,5.007291666666666,0.0
60,200,0.0,0.0,100.0,6.405729166666666,0.0
60,225,0.0,0.0,100.0,7.813541666666667,0.0
60,250,0.0,0.0,100.0,9.621354166666666,0.0
60,275,0.0,0.0,100.0,11.308333333333334,0.0
60,300,0.0,0.0,100.0,13.139583333333333,0.0
75,1,2.976190476190476,3.0699516567208636,46.666666666666664,0.028645833333333332,7.142857142857143
75,2,1.4285714285714284,2.1821789023599236,66.66666666666666,0.03958333333333333,7.142857142857143
75,3,1.4285714285714284,1.7496355305594133,60.0,0.04895833333333333,3.5714285714285716
75,5,0.5952380952380952,1.3309928437498746,83.33333333333334,0.06510416666666667,3.5714285714285716
75,10,0.11904761904761905,0.6410910484683934,96.66666666666667,0.13177083333333334,3.5714285714285716
75,25,0.0,0.0,100.0,0.41302083333333334,0.0
75,35,0.2380952380952381,0.8908708063747481,93.33333333333333,0.6213541666666667,3.5714285714285716
75,40,0.11904761904761905,0.6410910484683934,96.66666666666667,0.784375,3.5714285714285716
75,50,0.0,0.0,100.0,1.053125,0.0
75,60,0.0,0.0,100.0,1.3640625,0.0
75,75,0.0,0.0,100.0,1.9291666666666667,0.0
75,85,0.0,0.0,100.0,2.365625,0.0
75,100,0.0,0.0,100.0,3.056770833333333,0.0
75,110,0.0,0.0,100.0,3.5807291666666665,0.0
75,125,0.0,0.0,100.0,4.477604166666667,0.0
75,150,0.0,0.0,100.0,6.05,0.0
75,175,0.0,0.0,100.0,7.978125,0.0
75,200,0.0,0.0,100.0,10.005729166666667,0.0
75,225,0.0,0.0,100.0,12.402604166666666,0.0
75,250,0.0,0.0,100.0,15.009895833333333,0.0
75,275,0.0,0.0,100.0,17.877083333333335,0.0
75,300,0.0,0.0,100.0,20.959895833333334,0.0
85,1,4.537037037037036,2.911886146947479,16.666666666666664,0.03802083333333333,11.11111111111111
85,2,2.7777777777777772,2.0286020648339487,26.666666666666668,0.05416666666666667,5.555555555555555
85,3,1.8518518518518519,1.942238607722503,46.666666666666664,0.06770833333333333,5.555555555555555
85,5,1.3888888888888888,1.5631428718642715,53.333333333333336,0.08854166666666667,5.555555555555555
85,10,1.2037037037037037,1.552134686503723,60.0,0.184375,5.555555555555555
85,25,0.09259259259259259,0.4986263710309725,96.66666666666667,0.5526041666666667,2.7777777777777777
85,35,0.27777777777777773,0.8333333333333335,90.0,0.8276041666666667,2.7777777777777777
85,40,0.27777777777777773,0.8333333333333335,90.0,1.0229166666666667,2.7777777777777777
85,50,0.09259259259259259,0.4986263710309725,96.66666666666667,1.4385416666666666,2.7777777777777777
85,60,0.18518518518518517,0.6928995160692484,93.33333333333333,1.8692708333333334,2.7777777777777777
85,75,0.09259259259259259,0.4986263710309725,96.66666666666667,2.6098958333333333,2.7777777777777777
85,85,0.0,0.0,100.0,3.1723958333333333,0.0
85,100,0.0,0.0,100.0,4.146354166666667,0.0
85,110,0.09259259259259259,0.4986263710309725,96.66666666666667,4.847395833333334,2.7777777777777777
85,125,0.0,0.0,100.0,6.019791666666666,0.0
85,150,0.09259259259259259,0.4986263710309725,96.66666666666667,8.169791666666667,2.7777777777777777
85,175,0.0,0.0,100.0,10.670833333333333,0.0
85,200,0.0,0.0,100.0,13.556770833333333,0.0
85,225,0.0,0.0,100.0,16.702083333333334,0.0
85,250,0.0,0.0,100.0,21.228125,0.0
85,275,0.0,0.0,100.0,26.972916666666666,0.0
85,300,0.09259259259259259,0.4986263710309725,96.66666666666667,30.1078125,2.7777777777777777
90,1,4.166666666666666,2.7545323667858366,20.0,0.04114583333333333,8.333333333333334
90,2,2.7777777777777777,2.4845199749997664,33.33333333333333,0.06822916666666666,8.333333333333334
90,3,2.3148148148148144,2.1615958388756953,40.0,0.084375,5.555555555555555
90,5,1.574074074074074,1.8541652217130358,53.333333333333336,0.10677083333333333,5.555555555555555
90,10,1.111111111111111,1.538263678318162,63.33333333333333,0.21666666666666667,5.555555555555555
90,25,0.6481481481481481,1.1748682907823629,76.66666666666667,0.6302083333333334,2.7777777777777777
90,35,0.4629629629629629,1.0352166562499026,83.33333333333334,1.00625,2.7777777777777777
90,40,0.18518518518518517,0.6928995160692484,93.33333333333333,1.2109375,2.7777777777777777
90,50,0.09259259259259259,0.4986263710309725,96.66666666666667,2.759375,2.7777777777777777
90,60,0.37037037037037035,0.9442628728875528,86.66666666666667,2.215625,2.7777777777777777
90,75,0.18518518518518517,0.6928995160692484,93.33333333333333,2.9682291666666667,2.7777777777777777
90,85,0.18518518518518517,0.6928995160692484,93.33333333333333,4.610416666666667,2.7777777777777777
90,100,0.0,0.0,100.0,5.2640625,0.0
90,110,0.09259259259259259,0.4986263710309725,96.66666666666667,5.7265625,2.7777777777777777
90,125,0.0,0.0,100.0,7.347395833333334,0.0
90,150,0.09259259259259259,0.4986263710309725,96.66666666666667,9.7671875,2.7777777777777777
90,175,0.0,0.0,100.0,12.978125,0.0
90,200,0.0,0.0,100.0,16.360416666666666,0.0
90,225,0.0,0.0,100.0,20.35,0.0
90,250,0.0,0.0,100.0,26.5140625,0.0
90,275,0.09259259259259259,0.4986263710309725,96.66666666666667,29.867708333333333,2.7777777777777777
90,300,0.0,0.0,100.0,32.186458333333334,0.0
100,1,5.555555555555555,3.1295748406337194,10.0,0.06041666666666667,11.11111111111111
100,2,3.7037037037037037,2.1722782664615083,13.333333333333334,0.084375,6.666666666666667
100,3,3.0370370370370376,1.9443562590232129,20.0,0.10625,6.666666666666667
100,5,2.074074074074074,1.7149388004133672,33.33333333333333,0.14479166666666668,4.444444444444445
100,10,1.7037037037037035,1.875405763136617,46.666666666666664,0.28541666666666665,6.666666666666667
100,25,1.037037037037037,1.2483184849150162,56.666666666666664,0.8036458333333333,4.444444444444445
100,35,1.037037037037037,1.3738694067401043,60.0,1.2869791666666666,4.444444444444445
100,40,1.037037037037037,1.3738694067401043,60.0,1.5052083333333333,4.444444444444445
100,50,0.5925925925925927,0.9827036415867852,73.33333333333333,2.1020833333333333,2.2222222222222223
100,60,0.5185185185185185,1.1011902775791484,80.0,2.7348958333333333,4.444444444444445
100,75,0.6666666666666666,1.1688691731895926,73.33333333333333,3.89375,4.444444444444445
100,85,0.5185185185185185,0.9398946326258903,76.66666666666667,4.7078125,2.2222222222222223
100,100,0.22222222222222224,0.6666666666666667,90.0,6.116145833333333,2.2222222222222223
100,110,0.37037037037037035,0.8281733249999222,83.33333333333334,7.109895833333334,2.2222222222222223
100,125,0.29629629629629634,0.7554102983100422,86.66666666666667,8.8234375,2.2222222222222223
100,150,0.29629629629629634,0.7554102983100422,86.66666666666667,12.141145833333333,2.2222222222222223
100,175,0.29629629629629634,0.7554102983100422,86.66666666666667,15.8546875,2.2222222222222223
100,200,0.14814814814814817,0.5543196128553987,93.33333333333333,20.040104166666666,2.2222222222222223
100,225,0.07407407407407408,0.3989010968247781,96.66666666666667,25.073958333333334,2.2222222222222223
100,250,0.0,0.0,100.0,29.990104166666665,0.0
100,275,0.14814814814814817,0.5543196128553987,93.33333333333333,35.7703125,2.2222222222222223
100,300,0.07407407407407408,0.39890109682477803,96.66666666666667,41.9546875,2.2222222222222223
125,1,6.606060606060605,2.6340986438909977,0.0,0.10833333333333334,10.909090909090908
125,2,4.787878787878787,2.756743131041008,10.0,0.14166666666666666,9.090909090909092
125,3,4.484848484848484,1.9769098703394048,3.3333333333333335,0.16510416666666666,9.090909090909092
125,5,3.8181818181818183,2.316547254983805,20.0,0.21145833333333333,7.2727272727272725
125,10,3.454545454545454,2.4098054972207326,23.333333333333332,0.43125,7.2727272727272725
125,25,1.4545454545454544,1.7184784095464027,53.333333333333336,1.2390625,5.454545454545454
125,35,1.3333333333333333,1.5522725424079629,53.333333333333336,1.8796875,3.6363636363636362
125,40,1.2727272727272727,1.6363636363636362,56.666666666666664,2.254166666666667,5.454545454545454
125,50,1.2121212121212117,1.7141982574219334,60.0,3.1479166666666667,5.454545454545454
125,60,0.7878787878787878,1.3012673062778115,70.0,4.120833333333334,3.6363636363636362
125,75,0.9696969696969695,1.3873361384557086,63.33333333333333,5.7734375,3.6363636363636362
125,85,0.7878787878787877,1.2136354178485325,66.66666666666666,7.106770833333333,3.6363636363636362
125,100,0.9696969696969696,1.4646116331629784,66.66666666666666,9.193229166666667,3.6363636363636362
125,110,0.6666666666666665,1.1953383589888495,73.33333333333333,10.669791666666667,3.6363636363636362
125,125,0.6666666666666665,1.0992943725586093,70.0,13.265625,3.6363636363636362
125,150,0.606060606060606,0.9772433634301273,70.0,17.982291666666665,3.6363636363636362
125,175,0.606060606060606,1.1814296175526016,76.66666666666667,23.564583333333335,3.6363636363636362
125,200,0.2424242424242424,0.7761362712039817,90.0,29.796875,3.6363636363636362
125,225,0.2424242424242424,0.7761362712039815,90.0,36.872395833333336,3.6363636363636362
125,250,0.1212121212121212,0.45353422869987164,93.33333333333333,44.658854166666664,1.8181818181818181
125,275,0.4242424242424242,1.015942703893346,83.33333333333334,53.45260416666667,3.6363636363636362
125,300,0.1212121212121212,0.45353422869987164,93.33333333333333,63.190625,1.8181818181818181
150,1,6.06060606060606,3.852975984396091,20.0,0.16770833333333332,12.121212121212121
150,2,5.808080808080806,2.684380255741073,10.0,0.2109375,10.606060606060606
150,3,4.696969696969696,2.775940622961878,16.666666666666664,0.26927083333333335,10.606060606060606
150,5,4.848484848484848,2.156985505460871,6.666666666666667,0.3104166666666667,9.090909090909092
150,10,3.131313131313131,2.5029316552250234,33.33333333333333,0.653125,7.575757575757576
150,25,2.3232323232323235,2.0602099044819333,36.666666666666664,1.784375,6.0606060606060606
150,35,2.272727272727273,2.2043588730096157,43.333333333333336,2.7,6.0606060606060606
150,40,2.1212121212121215,2.1284148995662098,43.333333333333336,3.271354166666667,6.0606060606060606
150,50,1.6161616161616161,1.953442384425628,56.666666666666664,4.597916666666666,4.545454545454546
150,60,1.4646464646464645,1.8549866335562584,60.0,5.8484375,4.545454545454546
