inst_type,n,density,instance_id,beam_width,optimal,fn_dp_obj,fn_final_obj,fn_time_dp,fn_time_ls,fn_time_total,fn_ls_iters,fl_dp_obj,fl_final_obj,fl_time_dp,fl_time_ls,fl_time_total,fl_ls_iters,fl_unique_optima
Hidden_Clique,25,0.0,3,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.6666666666666667,12.0
Hidden_Clique,25,0.0,4,12,20.0,20.0,20.0,0.03125,0.0,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,2.25,11.0
Hidden_Clique,25,0.0,5,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.015625,0.03125,1.9166666666666667,12.0
Hidden_Clique,25,0.0,6,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.8333333333333333,11.0
Hidden_Clique,25,0.0,7,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.015625,0.03125,1.9166666666666667,11.0
Hidden_Clique,25,0.0,8,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,2.0,12.0
Hidden_Clique,25,0.0,9,12,20.0,20.0,20.0,0.03125,0.0,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,2.4166666666666665,9.0
Hidden_Clique,25,0.0,10,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.015625,0.03125,1.75,12.0
Hidden_Clique,25,0.0,11,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.75,12.0
Hidden_Clique,25,0.0,12,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.5833333333333333,12.0
Hidden_Clique,25,0.0,13,12,20.0,20.0,20.0,0.03125,0.0,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,1.75,11.0
Hidden_Clique,25,0.0,14,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.015625,0.03125,1.9166666666666667,12.0
Hidden_Clique,25,0.0,15,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.4166666666666667,12.0
Hidden_Clique,25,0.0,16,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.03125,0.0,0.03125,2.083333333333333,12.0
Hidden_Clique,25,0.0,17,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.75,11.0
Hidden_Clique,25,0.0,18,12,20.0,20.0,20.0,0.015625,0.015625,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,1.6666666666666667,11.0
Hidden_Clique,25,0.0,19,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.6666666666666667,11.0
Hidden_Clique,25,0.0,20,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.015625,0.03125,1.5,12.0
Hidden_Clique,25,0.0,21,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.75,11.0
Hidden_Clique,25,0.0,22,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,2.4166666666666665,11.0
Hidden_Clique,25,0.0,23,12,20.0,20.0,20.0,0.03125,0.0,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,1.5,12.0
Hidden_Clique,25,0.0,24,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,2.0,12.0
Hidden_Clique,25,0.0,25,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.03125,0.0,0.03125,1.9166666666666667,12.0
Hidden_Clique,25,0.0,26,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,2.5,9.0
Hidden_Clique,25,0.0,27,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.9166666666666667,12.0
Hidden_Clique,25,0.0,28,12,20.0,20.0,20.0,0.015625,0.015625,0.03125,5.0,20.0,20.0,0.015625,0.0,0.015625,1.8333333333333333,12.0
Hidden_Clique,25,0.0,29,12,20.0,20.0,20.0,0.015625,0.0,0.015625,5.0,20.0,20.0,0.015625,0.0,0.015625,1.8333333333333333,12.0
Hidden_Clique,40,0.0,0,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.078125,0.0,0.078125,2.35,13.0
Hidden_Clique,40,0.0,1,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.078125,0.015625,0.09375,1.9,18.0
Hidden_Clique,40,0.0,2,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.078125,0.0,0.078125,2.05,18.0
Hidden_Clique,40,0.0,3,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.078125,0.0,0.078125,2.05,20.0
Hidden_Clique,40,0.0,4,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.078125,0.0,0.078125,2.2,16.0
Hidden_Clique,40,0.0,5,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.09375,0.015625,0.109375,1.9,20.0
Hidden_Clique,40,0.0,6,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.09375,0.0,0.09375,2.15,18.0
Hidden_Clique,40,0.0,7,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.078125,0.015625,0.09375,2.1,17.0
Hidden_Clique,40,0.0,8,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.078125,0.0,0.078125,2.2,15.0
Hidden_Clique,40,0.0,9,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.0,20.0
Hidden_Clique,40,0.0,10,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,1.75,20.0
Hidden_Clique,40,0.0,11,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.25,20.0
Hidden_Clique,40,0.0,12,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,28.0,30.0,0.078125,0.0,0.078125,2.1,20.0
Hidden_Clique,40,0.0,13,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.0625,0.0,0.0625,2.0,20.0
Hidden_Clique,40,0.0,14,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.0625,0.0,0.0625,2.15,17.0
Hidden_Clique,40,0.0,15,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.0625,0.0,0.0625,1.8,20.0
Hidden_Clique,40,0.0,16,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.078125,0.0,0.078125,1.95,20.0
Hidden_Clique,40,0.0,17,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,1.95,19.0
Hidden_Clique,40,0.0,18,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.3,16.0
