n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
10,1,0.0,0.0,100.0,0.0005208333333333333,0.0
10,2,0.0,0.0,100.0,0.0005208333333333333,0.0
10,3,0.0,0.0,100.0,0.0010416666666666667,0.0
10,5,0.0,0.0,100.0,0.0015625,0.0
10,10,0.0,0.0,100.0,0.0020833333333333333,0.0
10,25,0.0,0.0,100.0,0.004166666666666667,0.0
10,50,0.0,0.0,100.0,0.0078125,0.0
10,75,0.0,0.0,100.0,0.0109375,0.0
10,100,0.0,0.0,100.0,0.0140625,0.0
10,125,0.0,0.0,100.0,0.015104166666666667,0.0
10,150,0.0,0.0,100.0,0.0140625,0.0
10,200,0.0,0.0,100.0,0.016145833333333335,0.0
10,250,0.0,0.0,100.0,0.014583333333333334,0.0
10,300,0.0,0.0,100.0,0.014583333333333334,0.0
25,1,1.3333333333333333,3.3993463423951895,86.66666666666667,0.003125,10.0
25,2,0.3333333333333333,1.7950549357115013,96.66666666666667,0.004166666666666667,10.0
25,3,0.0,0.0,100.0,0.005208333333333333,0.0
25,5,0.0,0.0,100.0,0.007291666666666667,0.0
25,10,0.0,0.0,100.0,0.0125,0.0
25,25,0.0,0.0,100.0,0.033854166666666664,0.0
25,50,0.0,0.0,100.0,0.08489583333333334,0.0
25,75,0.0,0.0,100.0,0.15520833333333334,0.0
25,100,0.0,0.0,100.0,0.3203125,0.0
25,125,0.0,0.0,100.0,0.43072916666666666,0.0
25,150,0.0,0.0,100.0,0.6020833333333333,0.0
25,200,0.0,0.0,100.0,0.871875,0.0
25,250,0.0,0.0,100.0,1.3744791666666667,0.0
25,300,0.0,0.0,100.0,1.7645833333333334,0.0
50,1,1.4285714285714284,2.7902215605153877,76.66666666666667,0.009895833333333333,9.523809523809524
50,2,0.6349206349206349,1.6187363535215191,86.66666666666667,0.015625,4.761904761904762
50,3,0.47619047619047616,1.4285714285714284,90.0,0.01875,4.761904761904762
50,5,0.15873015873015872,0.8547880646245245,96.66666666666667,0.025,4.761904761904762
50,10,0.0,0.0,100.0,0.06197916666666667,0.0
50,25,0.0,0.0,100.0,0.1421875,0.0
50,50,0.0,0.0,100.0,0.4734375,0.0
50,75,0.0,0.0,100.0,0.9484375,0.0
50,100,0.0,0.0,100.0,1.5869791666666666,0.0
50,125,0.0,0.0,100.0,1.9552083333333334,0.0
50,150,0.0,0.0,100.0,2.590625,0.0
50,200,0.0,0.0,100.0,5.1296875,0.0
50,250,0.0,0.0,100.0,7.833854166666667,0.0
50,300,0.0,0.0,100.0,10.800520833333334,0.0
100,1,5.555555555555555,3.1295748406337194,10.0,0.06822916666666666,11.11111111111111
100,2,3.7037037037037037,2.1722782664615083,13.333333333333334,0.08229166666666667,6.666666666666667
100,3,3.0370370370370376,1.9443562590232129,20.0,0.08958333333333333,6.666666666666667
100,5,2.074074074074074,1.7149388004133672,33.33333333333333,0.165625,4.444444444444445
100,10,2.222222222222222,1.814436846506058,30.0,0.27291666666666664,6.666666666666667
100,25,1.185185185185185,1.3738694067401043,53.333333333333336,0.5130208333333334,4.444444444444445
100,50,0.6666666666666666,1.0183501544346312,70.0,1.93125,2.2222222222222223
100,75,0.22222222222222224,0.6666666666666667,90.0,3.50625,2.2222222222222223
100,100,0.4444444444444444,0.888888888888889,80.0,5.578125,2.2222222222222223
100,125,0.29629629629629634,0.7554102983100422,86.66666666666667,8.305208333333333,2.2222222222222223
100,150,0.22222222222222224,0.6666666666666667,90.0,11.359375,2.2222222222222223
100,200,0.14814814814814817,0.5543196128553985,93.33333333333333,15.781770833333333,2.2222222222222223
100,250,0.07407407407407408,0.39890109682477803,96.66666666666667,21.455208333333335,2.2222222222222223
100,300,0.07407407407407408,0.39890109682477803,96.66666666666667,31.015104166666667,2.2222222222222223
200,1,8.13186813186813,3.695097498291133,10.0,0.3729166666666667,14.285714285714286
200,2,5.4212454212454215,3.9206119150944034,30.0,0.4588541666666667,10.989010989010989
200,3,5.091575091575092,3.5265804371411584,26.666666666666668,0.5125,9.89010989010989
200,5,4.395604395604396,3.184917966195481,26.666666666666668,0.6270833333333333,8.791208791208792
200,10,3.443223443223444,3.586003882936386,50.0,0.9203125,9.89010989010989
200,25,2.5641025641025643,2.8981744241542096,53.333333333333336,2.3588541666666667,6.593406593406593
200,50,1.8315018315018317,2.912030317121142,70.0,6.030208333333333,7.6923076923076925
200,75,0.695970695970696,1.5142876636332885,80.0,10.175520833333334,5.4945054945054945
200,100,0.40293040293040294,1.5142876636332883,93.33333333333333,13.390625,6.593406593406593
200,125,1.282051282051282,2.341172334252717,76.66666666666667,19.531770833333333,6.593406593406593
200,150,0.8424908424908426,1.9797170867211222,83.33333333333334,27.031770833333333,6.593406593406593
200,200,0.3663003663003663,1.1812831865638902,90.0,45.3546875,5.4945054945054945
200,250,0.3663003663003663,1.3705704713457663,93.33333333333333,69.10989583333334,5.4945054945054945
200,300,0.18315018315018314,0.9862939207206048,96.66666666666667,97.2,5.4945054945054945
300,1,8.259803921568626,5.142446579625145,23.333333333333332,0.7036458333333333,15.441176470588236
300,2,5.710784313725491,5.422209035679568,46.666666666666664,0.8161458333333333,13.235294117647058
300,3,5.3921568627450975,4.8933748336491965,43.333333333333336,0.8734375,12.5
300,5,5.0,5.053063296020256,50.0,1.0333333333333334,11.764705882352942
300,10,3.5539215686274512,4.82195743952963,60.0,1.4625,11.764705882352942
300,25,2.4019607843137263,4.022595733123263,73.33333333333333,3.4447916666666667,10.294117647058824
300,50,0.8333333333333334,2.5452460756367,90.0,8.697395833333333,10.294117647058824
300,75,0.5637254901960784,2.024248665681958,90.0,16.3890625,8.823529411764707
300,100,0.7843137254901962,2.3554928973988165,90.0,26.530729166666667,8.088235294117647
300,125,0.31862745098039214,1.5848199176791384,93.33333333333333,39.05677083333333,8.823529411764707
300,150,0.5392156862745098,2.0264731969210183,93.33333333333333,53.6046875,8.823529411764707
300,200,0.2696078431372549,1.4518826685901849,96.66666666666667,90.74947916666666,8.088235294117647
300,250,0.4656862745098039,1.7450223050321139,93.33333333333333,138.5453125,7.352941176470588
300,300,0.0,0.0,100.0,225.95833333333334,0.0
10,35,0.0,0.0,100.0,0.00625,0.0
10,40,0.0,0.0,100.0,0.005729166666666666,0.0
10,60,0.0,0.0,100.0,0.0078125,0.0
10,85,0.0,0.0,100.0,0.011458333333333333,0.0
10,110,0.0,0.0,100.0,0.015104166666666667,0.0
10,175,0.0,0.0,100.0,0.014583333333333334,0.0
10,225,0.0,0.0,100.0,0.014583333333333334,0.0
10,275,0.0,0.0,100.0,0.017708333333333333,0.0
25,35,0.0,0.0,100.0,0.053125,0.0
25,40,0.0,0.0,100.0,0.0625,0.0
25,60,0.0,0.0,100.0,0.10989583333333333,0.0
25,85,0.0,0.0,100.0,0.18489583333333334,0.0
25,110,0.0,0.0,100.0,0.2828125,0.0
25,175,0.0,0.0,100.0,0.7432291666666667,0.0
25,225,0.0,0.0,100.0,1.1604166666666667,0.0
25,275,0.0,0.0,100.0,1.4901041666666666,0.0
50,35,0.0,0.0,100.0,0.33697916666666666,0.0
50,40,0.0,0.0,100.0,0.4015625,0.0
50,60,0.0,0.0,100.0,0.5328125,0.0
50,85,0.0,0.0,100.0,0.8380208333333333,0.0
50,110,0.0,0.0,100.0,1.3390625,0.0
50,175,0.0,0.0,100.0,3.765625,0.0
50,225,0.0,0.0,100.0,5.024479166666667,0.0
50,275,0.0,0.0,100.0,9.538541666666667,0.0
75,1,2.976190476190476,3.0699516567208636,46.666666666666664,0.034895833333333334,7.142857142857143
75,2,1.4285714285714284,2.1821789023599236,66.66666666666666,0.05625,7.142857142857143
75,3,1.4285714285714284,1.7496355305594133,60.0,0.06145833333333333,3.5714285714285716
75,5,0.5952380952380952,1.3309928437498746,83.33333333333334,0.07239583333333334,3.5714285714285716
75,10,0.2380952380952381,0.8908708063747482,93.33333333333333,0.13802083333333334,3.5714285714285716
75,25,0.0,0.0,100.0,0.39791666666666664,0.0
75,35,0.0,0.0,100.0,0.65625,0.0
75,40,0.0,0.0,100.0,0.7510416666666667,0.0
75,50,0.0,0.0,100.0,1.1046875,0.0
75,60,0.0,0.0,100.0,1.4151041666666666,0.0
75,75,0.0,0.0,100.0,1.7432291666666666,0.0
75,85,0.0,0.0,100.0,2.0833333333333335,0.0
75,100,0.0,0.0,100.0,3.2572916666666667,0.0
75,110,0.0,0.0,100.0,3.861458333333333,0.0
75,125,0.0,0.0,100.0,4.789583333333334,0.0
75,150,0.0,0.0,100.0,6.591145833333333,0.0
75,175,0.0,0.0,100.0,8.5953125,0.0
75,200,0.0,0.0,100.0,10.7734375,0.0
75,225,0.0,0.0,100.0,13.2140625,0.0
